"","",1.00004215E10,Żyraf: Czas Zemsty
1874,2,"",Passage of Venus
1878,1,0.0,The Musician Monkey
1881,1,"",Skeleton of Horse
1882,1,"",The Kiss
1882,2,"",The 1882 Transit of Venus
1883,2,"",Buffalo Running
1885,1,"",L'Homme Machine
1887,1,"",Woman Walking Downstairs
1887,2,"",Woman Picking Up Skirt
1888,1,"",Horse and Rider Jumping Over an Obstacle
1888,2,"",Traffic Crossing Leeds Bridge
1889,2,"",Hyde Park Corner
1890,1,"","Traffic in King's Road, Chelsea"
1890,2,"","Monkeyshines, No. 3"
1891,1,"",Two Fencers
1891,2,"",The Wave
1892,1,"",Wrestling
1892,2,"",Poor Pierrot
1893,1,"",Rabbits
1894,1,"",Wrestling Match
1894,2,"",Un rêve au coin du feu
1895,1,"",Young Griffo v. Battling Charles Barnett
1895,2,"",Wintergartenprogramm
1896,1,"",Yarmouth Fishing Boats Leaving Harbour
1896,2,"",Writing Backwards
1897,1,"",Yokohama : déchargement dans un port
1897,2,"","École de cavalerie de Saumur, le carrousel militaire: Changement de main"
1898,1,"",Wreck of the Battleship 'Maine'
1898,2,"",Žofín Swimming Bath
1899,1,"",Équilibre et moulinet
1899,2,"",Vue de l'avant d'un transatlantique par un gros temps
1900,1,"",Why Mrs. Jones Got a Divorce
1900,2,0.0,Lancers Under the Earl of Airlie Fording the Modder River
1901,1,"","York Road Board School, Leeds"
1901,2,"",Women of the Ghetto Bathing
1902,1,0.0,A Trip to the Moon
1902,2,"",To nejlepší číslo
1903,1,"",White Wings on Review
1903,2,0.0,The Great Train Robbery
1904,1,"",Westinghouse Works
1904,2,0.0,The Impossible Voyage
1905,1,"",长坂坡
1905,2,"",Wrestling at the New York Athletic Club
1906,1,"",Zigeunerdans af troubaduren
1906,2,"",Zachariæs Selskab
1907,1,"","À Biribi, disciplinaires français"
1907,2,0.0,Ben Hur
1908,1,"",£100 Reward
1908,2,0.0,The Adventures of Dollie
1909,1,"",Песнь про купца Калашникова
1909,2,"",Young Deer's Bravery
1910,1,0.0,The Winter's Tale
1910,2,"",Young Lord Stanley
1911,1,"","Zigoto, policier, trouve une corde"
1911,2,"",Young Lochinvar
1912,1,0.0,Un drama en Puerto Rico
1912,2,0.0,The Beating He Needed
1913,1,0.0,The Prisoner of Zenda
1913,2,"",Экспедиция Георгия Седова
1914,1,259.9,Neptune's Daughter
1914,2,512.3,The Rose of the Rancho
1915,1,11000.0,The Birth of a Nation
1915,2,793.5,The Cheat
1916,1,553.3,Maria Rosa
1916,2,4000.0,"20,000 Leagues Under the Sea"
1917,1,0.0,The Spirit of '76
1917,2,0.0,The Woman God Forgot
1918,1,"",Zhena prokurora
1918,2,3200.0,Mickey
1919,1,0.0,The Knickerbocker Buckaroo
1919,2,3000.0,The Miracle Man
1920,1,48.9,The Cabinet of Dr. Caligari
1920,2,3000.0,Over the Hill to the Poorhouse
1921,1,1000.0,The Kid
1921,2,309.6,Fool's Paradise
1922,1,36.4,Foolish Wives
1922,2,81.1,A Dangerous Adventure
1923,1,1239.7,Safety Last!
1923,2,0.0,The Ten Commandments
1924,1,387.5,Girl Shy
1924,2,512.2,He Who Gets Slapped
1925,1,211.9,The Great Divide
1925,2,5235.6,The Big Parade
1926,1,186.5,The Sea Beast
1926,2,288.7,Tell It to the Marines
1927,1,500.0,Rough House Rosie
1927,2,659.3,London After Midnight
1928,1,700.0,Sadie Thompson
1928,2,1600.0,Lights of New York
1929,1,1149.9,The Broadway Melody
1929,2,482.1,Say It with Songs
1930,1,328.4,Son of the Gods
1930,2,202.5,Hell's Angels
1931,1,323.1,Trader Horn
1931,2,4123.7,Frankenstein
1932,1,563.4,Emma
1932,2,316.6,One Way Passage
1933,1,1488.1,King Kong
1933,2,18000.0,Damaged Lives
1934,1,1384.6,It Happened One Night
1934,2,523.5,Forsaking All Others
1935,1,507.9,The Bride of Frankenstein
1935,2,525.8,Top Hat
1936,1,405.6,San Francisco
1936,2,470.3,After the Thin Man
1937,1,282.0,A Family Affair
1937,2,12424.3,Snow White and the Seven Dwarfs
1938,1,200.0,Alexander's Ragtime Band
1938,2,1059.9,Love Finds Andy Hardy
1939,1,207.7,Stagecoach
1939,2,10058.8,Gone with the Wind
1940,1,3242.3,Pinocchio
1940,2,3351.4,Fantasia
1941,1,2764.9,Citizen Kane
1941,2,1168.7,Sergeant York
1942,1,427.6,The Big Shot
1942,2,31171.0,Bambi
1943,1,1636.6,Hitler's Children
1943,2,1453.3,The Return of the Vampire
1944,1,291.9,Bathing Beauty
1944,2,443.1,Meet Me in St. Louis
1945,1,478.9,Conflict
1945,2,880.0,The Lost Weekend
1946,1,373.3,The Spiral Staircase
1946,2,2450.0,Notorious
1947,1,428.6,Miracle on 34th Street
1947,2,700.0,Golden Earrings
1948,1,601.6,Bud Abbott and Lou Costello Meet Frankenstein
1948,2,328.3,Bicycle Thieves
1949,1,416.7,Champion
1949,2,548.0,Adam's Rib
1950,1,9089.4,Cinderella
1950,2,600.0,All About Eve
1951,1,583.3,Strangers on a Train
1951,2,19066.7,Alice in Wonderland
1952,1,1095.9,High Noon
1952,2,500.0,The Sweetness of Love
1953,1,6250.0,Robot Monster
1953,2,1848.5,From Here to Eternity
1954,1,1087.5,The Caine Mutiny
1954,2,3703.5,Rear Window
1955,1,909.0,Lady and the Tramp
1955,2,583.3,The Trouble with Harry
1956,1,20739.8,Operation Thunderbolt
1956,2,11000.0,...And God Created Woman
1957,1,2963.0,The Curse of Frankenstein
1957,2,1496.9,The Bridge on the River Kwai
1958,1,3337.1,Dracula
1958,2,5555.6,Macabre
1959,1,1412.6,The Shaggy Dog
1959,2,1093.3,Ben-Hur
1960,1,6196.2,Psycho
1960,2,1111.1,The Bellboy
1961,1,2125.0,One Hundred and One Dalmatians
1961,2,1000.0,The Pit and the Pendulum
1962,1,500.0,The Miracle Worker
1962,2,6273.7,Dr. No
1963,1,22500.0,King Kong vs. Godzilla
1963,2,16326.5,Blood Feast
1964,1,7250.0,A Fistful of Dollars
1964,2,4995.2,Goldfinger
1965,1,3490.4,The Sound of Music
1965,2,2567.2,Thunderball
1966,1,2661.5,Queen of Blood
1966,2,2104.5,"The Good, the Bad and the Ugly"
1967,1,6789.2,"To Sir, with Love"
1967,2,10000.0,The Born Losers
1968,1,3710.6,The Odd Couple
1968,2,26315.8,Night of the Living Dead
1969,1,16666.7,Easy Rider
1969,2,27000.0,The Stewardesses
1970,1,10937.5,"Count Yorga, Vampire"
1970,2,18225.7,Joe
1971,1,10133.3,Sweet Sweetback's Baadasssss Song
1971,2,69841.5,Lady Frankenstein
1972,1,50000.0,Pink Flamingos
1972,2,13750.0,The Legend of Boggy Creek
1973,1,1236.0,Paper Moon
1973,2,18018.0,American Graffiti
1974,1,4596.2,Blazing Saddles
1974,2,36352.9,The Texas Chain Saw Massacre
1975,1,58333.3,"Aloha, Bobby and Rose"
1975,2,16857.1,Let's Do It Again
1976,1,2454.5,Ode to Billy Joe
1976,2,11725.0,Rocky
1977,1,7049.1,Star Wars
1977,2,10869.6,The Hills Have Eyes
1978,1,1830.0,Good Guys Wear Black
1978,2,21622.8,Halloween
1979,1,3996.2,Phantasm
1979,2,3333.3,Shaolin Heroes
1980,1,10864.5,Friday the 13th
1980,2,2384.4,Airplane!
1981,1,2166.3,Raiders of the Lost Ark
1981,2,8400.0,The Evil Dead
1982,1,7552.1,E.T. the Extra-Terrestrial
1982,2,2495.3,The House on Sorority Row
1983,1,4955.3,Valley Girl
1983,2,16666.7,A Polish Vampire in Burbank
1984,1,3223.6,Breakin'
1984,2,3166.7,A Nightmare on Elm Street
1985,1,5152.5,The Breakfast Club
1985,2,1.545929909E8,Kiss of the Spider Woman
1986,1,2378.9,Top Gun
1986,2,6564.1,Crocodile Dundee
1987,1,1120.0,A Nightmare on Elm Street 3: Dream Warriors
1987,2,3576.3,Dirty Dancing
1988,1,4333.3,Bloodsport
1988,2,1444.1,Twins
1989,1,2285.2,My Left Foot: The Story of Christy Brown
1989,2,4191.5,Roger & Me
1990,1,100094.7,Angel Town
1990,2,4922.1,BlackJack
1991,1,1405294.4,Kickboxer 2: The Road Back
1991,2,5339.6,Slacker
1992,1,1087.2,Like Water for Chocolate
1992,2,2275.9,Police Story 3: Super Cop
1993,1,1460.5,Jurassic Park
1993,2,1765.1,Mrs. Doubtfire
1994,1,5584.1,Four Weddings and a Funeral
1994,2,11427.5,Clerks
1995,1,1070.9,While You Were Sleeping
1995,2,1383.3,Leaving Las Vegas
1996,1,1089.9,Independence Day
1996,2,2841.7,Sling Blade
1997,1,4808.5,Chasing Amy
1997,2,7367.1,The Full Monty
1998,1,2549.0,A
1998,2,10003.9,Kuch Kuch Hota Hai
1999,1,5000.0,Upendra
1999,2,414398.5,The Blair Witch Project
2000,1,5000.0,Untold Stories of Columbine
2000,2,350000.0,Vanna Thamizh Paatu
2001,1,5000.0,Xchange
2001,2,1674.8,Lovely & Amazing
2002,1,7374.9,My Big Fat Greek Wedding
2002,2,6967.1,Infernal Affairs
2003,1,2472.7,Baywatch: Hawaiian Wedding
2003,2,533033.9,Tarnation
2004,1,43961.7,Super Size Me
2004,2,42052.3,Open Water
2005,1,393617.0,Лесная царевна
2005,2,1567531.1,The Notorious Bettie Page
2006,1,4624.3,An Inconvenient Truth
2006,2,12944.1,Once
2007,1,4500.0,Move Me
2007,2,90317.7,Paranormal Activity
2008,1,50000.0,Por qué no me tocó ser Michael Keaton?
2008,2,6691.3,Fireproof
2009,1,500000.0,Saved
2009,2,100000.0,Leon jumps in the Liffey for 50 euro
2010,1,13333.3,Booye Gandom
2010,2,10153.1,Catfish
2011,1,2688172.0,From Prada to Nada
2011,2,100889.3,Smithereens
2012,1,2.755584E8,Between Us
2012,2,100000.0,Someone Wants to Talk with You
2013,1,524656.3,To the Wonder
2013,2,3220.0,Insidious: Chapter 2
2014,1,8917.4,The Quiet Ones
2014,2,6934.1,Mary Kom
2015,1,6288.2,Unfriended
2015,2,42664.4,The Gallows
2016,1,72000.0,Dindon Sauvage (La dinde noire)
2016,2,18333.3,Moon Men
2017,1,1.033113E8,Bellator 175: Rampage vs. King Mo 2
2017,2,666666.7,One Cut of the Dead
2018,1,666666.7,Khaltoor
2018,2,20750.0,Night Where People Had Died 7: He Return
2019,1,3947.1,WWE Money in the Bank 2019
2019,2,10000.0,The Loony Park
2020,1,1.66666667E7,Fortnite the Movie Part One
2020,2,1.0E7,Fortnite: The Final Chapter
2021,1,1.33831945E7,"Dad, I'm Sorry"
2021,2,333333.3,Bear Lake Bloodbath
2022,1,1000.0,"Portrait de Rosa, à la française"
2022,2,300.0,The Swarm
2023,1,0.0,Weldito La pelicula
2023,2,7821.4,Parallel Heroes
2024,1,282.5,Narayan Pustika
2024,2,0.0,Avatar 3
2025,1,"",The Wild Ones
2025,2,"",Untitled Wicked Sequel
2026,1,"",平安岛
2026,2,0.0,Avatar 4
2027,2,"",Untitled Star Wars Film
2028,2,0.0,Avatar 5
2049,1,"",我不是李小龙
2099,2,"",100 Years
