To Die is Hard,Comedy-Action,303.3,1
Ah Boys to Men 3: Frogmen,Comedy-Action,273.3,2
Tag,Comedy-Action,268.2,3
You Don't Mess with the Zohan,Comedy-Action,227.0,4
Luckunnodu,Comedy-Action,166.7,5
Taxi 5,Comedy-Action,156.8,6
Spy Hard,Comedy-Action,150.0,7
Roaming Hungry,Comedy-Action,150.0,7
Bol Bachchan,Comedy-Action,141.7,9
Best Defense,Comedy-Action,107.0,10
The Babadook,Drama-Horror,515.6,1
Sweeney Todd: The Demon Barber of Fleet Street,Drama-Horror,304.0,2
Carrie,Drama-Horror,274.6,3
Hell House,Drama-Horror,246.0,4
The Attachment,Drama-Horror,200.0,5
Raw,Drama-Horror,117.1,6
Shadow of the Vampire,Drama-Horror,103.5,7
The Ethereal,Drama-Horror,100.0,8
Dahmer,Drama-Horror,57.6,9
White Dog,Drama-Horror,0.6,10
To the Wonder,Drama-Romance,524656.3,1
"Aloha, Bobby and Rose",Drama-Romance,58333.3,2
...And God Created Woman,Drama-Romance,11000.0,3
In the Mood for Love,Drama-Romance,8570.0,4
Fireproof,Drama-Romance,6691.3,5
Last Tango in Paris,Drama-Romance,2891.5,6
Slumdog Millionaire,Drama-Romance,2522.7,7
Ode to Billy Joe,Drama-Romance,2454.5,8
Flashdance,Drama-Romance,2323.0,9
War Room,Drama-Romance,2259.7,10
Å»yraf: Czas Zemsty,Horror,1.00004215E10,1
The Classroom,Horror,6.0E7,2
Bear Lake Bloodbath,Horror,333333.3,3
Dindon Sauvage (La dinde noire),Horror,72000.0,4
The Texas Chain Saw Massacre,Horror,36352.9,5
Night Where People Had Died 7: He Return,Horror,20750.0,6
Blood Feast,Horror,16326.5,7
"Count Yorga, Vampire",Horror,10937.5,8
The Quiet Ones,Horror,8917.4,9
Dawn of the Dead,Horror,8461.5,10
In The Weeds,Thriller-Drama,1250.0,1
And There Was Love,Thriller-Drama,616.4,2
Margin Call,Thriller-Drama,557.3,3
Handover,Thriller-Drama,500.0,4
The Impossible,Thriller-Drama,440.2,5
Bridge of Spies,Thriller-Drama,413.7,6
Money Monster,Thriller-Drama,345.5,7
Hate Story 3,Thriller-Drama,306.9,8
Bad Day at Black Rock,Thriller-Drama,298.0,9
Unfaithful,Thriller-Drama,238.3,10
